DateTime,Geopolitics,Climate Policy,New Energy,Green Bond,Carbon Price,Crude Oil,Natural Gas,Coke
2020-12-17,0.5949008464813232,1.67263212213739,2705.2135,170.2007,41.5,297.7,5660.0,2622.0
2020-12-18,0.5949008464813232,1.41163697085844,2770.4494,170.2427,41.5,303.1,5688.0,2664.5
2020-12-21,0.5949008464813232,1.74366710044085,2936.7088,170.3983,39.8,298.6,6469.0,2806.5
2020-12-22,0.5949008464813232,1.77787925372922,2867.4196,170.5772,39.8,291.6,6615.0,2825.5
2020-12-23,0.5949008464813232,1.81511537674068,2986.3191,170.6838,35.82,278.3,6634.0,2780.5
2020-12-24,0.5949008464813232,2.10164003189438,2956.1645,170.7177,35.82,279.8,6309.0,2834.5
2020-12-25,0.5949008464813232,1.21839840801453,3082.3914,170.7977,35.82,306.9,5777.0,2914.0
2020-12-28,0.5949008464813232,1.49933523005082,3079.041,170.8956,39.0,308.3,5308.0,2946.5
2020-12-29,0.5949008464813232,1.08816497105554,2914.8785,170.9408,39.0,307.2,5482.0,2950.0
2020-12-30,0.5949008464813232,1.2268142280165,3019.6659,171.0395,39.0,304.7,5552.0,2943.5
2020-12-31,0.5949008464813232,1.94038319813086,3085.8088,171.0871,39.0,303.3,5493.0,2976.5
2021-01-04,0.7740280628204346,1.52163411421171,3316.9858,171.1574,39.0,313.9,5370.0,3121.0
2021-01-05,0.7740280628204346,1.65971227805567,3335.7856,171.1872,39.0,313.4,5546.0,3162.0
2021-01-06,0.7740280628204346,1.47430118216025,3334.1895,171.3103,38.0,319.3,5745.0,3129.5
2021-01-07,0.7740280628204346,1.7311764566229,3447.8543,171.4635,38.0,327.6,5835.0,3047.0
2021-01-08,0.7740280628204346,1.36468507982846,3381.8285,171.5584,41.5,332.7,5891.0,3020.5
2021-01-11,0.7740280628204346,1.51968392918354,3233.2524,171.6224,41.5,336.0,6106.0,2990.5
2021-01-12,0.7740280628204346,1.3012936547569,3340.9708,171.714,41.5,332.2,6157.0,2934.5
2021-01-13,0.7740280628204346,1.66336923393755,3265.307,171.8269,41.5,340.0,6149.0,2934.5
2021-01-14,0.7740280628204346,1.05880139144444,3171.1955,171.9489,41.5,335.9,6063.0,2934.5
2021-01-15,0.7740280628204346,1.06447082281481,3214.6177,171.9222,41.5,332.2,5939.0,3117.5
2021-01-18,0.7740280628204346,1.60694571616482,3261.138,171.8507,41.45,326.1,5508.0,3016.0
2021-01-19,0.7740280628204346,1.62705904252712,3166.6791,171.802,41.45,328.4,5370.0,3007.5
2021-01-20,0.7740280628204346,1.37308398046543,3307.5978,171.8327,41.45,337.3,5258.0,3011.5
2021-01-21,0.7740280628204346,1.52799377380892,3411.91,171.8851,41.5,336.2,4887.0,3051.5
2021-01-22,0.7740280628204346,1.19959318263719,3545.2763,171.9647,41.5,324.5,4783.0,3041.5
2021-01-25,0.7740280628204346,1.26581540923474,3535.2907,172.0615,41.5,318.5,4509.0,3017.5
2021-01-26,0.7740280628204346,1.35339962531444,3466.3996,171.9992,41.45,322.6,4511.0,2990.5
2021-01-27,0.7740280628204346,1.4236755474531,3570.7063,171.9804,41.45,323.6,4565.0,2992.0
2021-01-28,0.7740280628204346,1.42814553578474,3388.8669,171.9187,41.4,324.0,4610.0,2982.5
2021-01-29,0.7740280628204346,1.28288026728305,3299.4208,171.8004,41.4,324.0,4681.0,2970.0
2021-02-01,0.7152522802352905,1.32004978233975,3255.9335,171.872,41.4,336.0,4494.0,3011.5
2021-02-02,0.7152522802352905,1.27260852854898,3369.01,171.9618,41.4,340.6,4389.0,3020.0
2021-02-03,0.7152522802352905,1.70232815865677,3368.3292,171.8963,40.5,347.5,4265.0,3020.0
2021-02-04,0.7152522802352905,1.53125421529717,3324.2035,171.8218,41.5,353.1,4089.0,2920.0
2021-02-05,0.7152522802352905,1.2532781808009,3260.9507,171.7727,34.75,356.3,3985.0,2920.0
2021-02-08,0.7152522802352905,1.04038791078709,3305.4607,171.6928,41.41,361.9,3746.0,2900.0
2021-02-09,0.7152522802352905,0.966894999103904,3421.7508,171.7316,41.41,367.3,3723.0,3020.0
2021-02-10,0.7152522802352905,1.86802211803079,3486.5014,171.728,41.41,368.1,3782.0,3020.0
2021-02-18,0.7152522802352905,0.750643865336766,3458.8652,171.6712,41.41,395.8,3615.0,3020.0
2021-02-19,0.7152522802352905,0.947033640300485,3394.0314,171.7245,41.41,387.0,3579.0,3002.0
2021-02-22,0.7152522802352905,1.56125956860214,3323.9349,171.7951,42.0,384.8,3534.0,2772.5
2021-02-23,0.7152522802352905,1.59379475763755,3305.1901,171.8596,42.0,393.8,3476.0,2762.0
2021-02-24,0.7152522802352905,1.81348358913134,3155.1865,171.9346,41.45,407.0,3400.0,2708.0
2021-02-25,0.7152522802352905,1.54092125948037,3111.8349,171.963,41.35,407.3,3310.0,2700.5
2021-02-26,0.7152522802352905,1.66241796270319,3057.0825,171.9605,41.35,410.0,3220.0,2605.5
2021-03-01,0.8384279608726501,1.60575810896907,3165.5734,172.0912,41.35,407.2,3173.0,2670.0
2021-03-02,0.8384279608726501,1.40349147392131,3157.8082,172.1549,41.35,397.2,3138.0,2670.0
2021-03-03,0.8384279608726501,1.99958576906199,3162.8907,172.1492,41.35,392.9,3152.0,2670.0
2021-03-04,0.8384279608726501,1.97036612851828,2955.0856,172.1707,41.35,396.5,3177.0,2670.0
2021-03-05,0.8384279608726501,2.48782319776535,2951.3338,172.2148,41.35,411.7,3226.0,2670.0
2021-03-08,0.8384279608726501,2.99835078917936,2796.4318,172.2561,41.45,433.6,3342.0,2670.0
2021-03-09,0.8384279608726501,2.69667881948241,2726.647,172.3086,41.45,428.1,3365.0,2670.0
2021-03-10,0.8384279608726501,2.70713877364246,2773.0118,172.4296,41.45,417.9,3368.0,2600.0
2021-03-11,0.8384279608726501,2.87743287898812,2869.2133,172.4941,41.45,416.3,3371.0,2600.0
2021-03-12,0.8384279608726501,2.83812843245215,2916.8158,172.5198,41.45,421.2,3377.0,2610.5
2021-03-15,0.8384279608726501,1.31473493239305,2802.1162,172.5924,41.4,420.4,3384.0,2362.5
2021-03-16,0.8384279608726501,1.63099844104454,2817.3079,172.6167,41.4,411.3,3392.0,2421.5
2021-03-17,0.8384279608726501,1.29990475347738,2862.6182,172.6328,41.4,408.3,3406.0,2436.0
2021-03-18,0.8384279608726501,1.61186554141291,2890.3239,172.664,41.4,407.8,3461.0,2439.0
2021-03-19,0.8384279608726501,1.40867324507644,2799.9179,172.7068,41.4,394.8,3561.0,2393.0
2021-03-22,0.8384279608726501,1.46542426956655,2845.4033,172.7947,41.5,376.6,3643.0,2228.0
2021-03-23,0.8384279608726501,2.089280921427,2763.2823,172.8613,41.5,386.5,3638.0,2188.0
2021-03-24,0.8384279608726501,1.93040711851787,2698.726,172.9938,41.5,376.2,3624.0,2183.0
2021-03-25,0.8384279608726501,1.14736687537283,2703.2887,173.0256,41.5,374.5,3605.0,2185.0
2021-03-26,0.8384279608726501,1.59398607184165,2833.6228,173.0453,41.5,375.8,3565.0,2185.0
2021-03-29,0.8384279608726501,1.22584894191501,2805.9939,173.1004,41.5,383.3,3587.0,2246.5
2021-03-30,0.8384279608726501,1.78994701202176,2866.044,173.0637,41.5,383.1,3616.0,2247.0
2021-03-31,0.8384279608726501,2.08429280557918,2849.5591,173.1081,41.5,383.1,3618.0,2272.0
2021-04-01,0.7356022000312805,1.6334371631773,2890.5302,173.1443,41.5,393.4,3581.0,2299.5
2021-04-02,0.7356022000312805,1.01033392810637,2893.4243,173.1903,41.5,396.5,3581.0,2299.5
2021-04-06,0.7356022000312805,1.4306095489172,2937.6367,173.2681,41.5,388.5,3429.0,2299.5
2021-04-07,0.7356022000312805,1.66100459157673,2891.7108,173.2855,41.5,389.3,3428.0,2299.5
2021-04-08,0.7356022000312805,1.60484626317744,2863.0848,173.3051,40.46,384.4,3439.0,2299.5
2021-04-09,0.7356022000312805,1.23259891913418,2812.8166,173.3394,40.46,386.4,3446.0,2299.5
2021-04-12,0.7356022000312805,1.20291476616153,2733.8668,173.4367,40.46,387.3,3470.0,2250.0
2021-04-13,0.7356022000312805,1.10614618678382,2742.6608,173.5369,40.46,391.1,3452.0,2348.0
2021-04-14,0.7356022000312805,1.87039172075183,2831.5367,173.5943,40.46,394.0,3419.0,2348.0
2021-04-15,0.7356022000312805,2.27422957105813,2836.9264,173.6768,40.46,406.3,3384.0,2258.5
2021-04-16,0.7356022000312805,1.56982584681544,2815.2598,173.6956,42.0,410.1,3361.0,2472.5
2021-04-19,0.7356022000312805,1.89819582642853,2955.0224,173.7629,42.0,408.5,3323.0,2452.5
2021-04-20,0.7356022000312805,1.86739273420726,2965.8994,173.8392,41.8,413.7,3306.0,2465.5
2021-04-21,0.7356022000312805,2.6092961748678,2953.5715,173.9008,41.8,411.6,3288.0,2484.0
2021-04-22,0.7356022000312805,2.15702886994121,2965.0556,173.9338,41.63,400.1,3289.0,2506.5
2021-04-23,0.7356022000312805,2.35937918636807,3009.2706,173.9307,41.62,403.4,3308.0,2527.0
2021-04-26,0.7356022000312805,1.06944275792163,2969.0525,173.9338,41.62,406.3,3306.0,2582.0
2021-04-27,0.7356022000312805,1.37218687812394,2948.3864,173.8868,41.62,402.1,3300.0,2620.5
2021-04-28,0.7356022000312805,1.35220486944455,3015.8317,173.8438,41.62,395.6,3296.0,2611.5
