指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2012/1/19,109.3435,,,,,1940,
2012/1/20,109.3693,,,,,1940,
2012/1/21,109.3952,,,,,,
2012/1/29,109.5149,,,,,,
2012/1/30,109.6586,,,,,1940,
2012/1/31,109.8024,,,,,1940,
2012/2/1,109.7275,,,,,1940,
2012/2/2,109.673,,,,,1940,
2012/2/3,109.6363,,,,,1940,
2012/2/6,109.639,,,,,1940,
2012/2/7,109.5949,,,,,1940,
2012/2/8,109.467,,,,,1940,
2012/2/9,109.3512,,,,,1940,
2012/2/10,109.3641,,,,,1940,
2012/2/13,109.4767,,,,,1940,
2012/2/14,109.4878,,,,,1940,
2012/2/15,109.4371,,,,,1975,
2012/2/16,109.3511,,,,,1975,
2012/2/17,109.2508,,,,,1975,
2012/2/20,109.5107,,,,,1975,
2012/2/21,109.5421,,,,,1975,
2012/2/22,109.5488,,,,,1975,
2012/2/23,109.5876,,,,,1975,
2012/2/24,109.6232,,,,,1975,
2012/2/27,109.6528,,,,,1975,
2012/2/28,109.6224,,,,,1975,
2012/2/29,109.5413,,,,,1975,
2012/3/1,109.5404,,,,,1975,
2012/3/2,109.538,,,,,1975,
2012/3/5,109.5186,,,,,1975,
2012/3/6,109.5309,,,,,1975,
2012/3/7,109.5405,,,,,1975,
2012/3/8,109.5913,,,,,1975,
2012/3/9,109.5924,,,,,1975,
2012/3/12,109.6271,,,,,1975,
2012/3/13,109.6476,,,,,1975,
2012/3/14,109.6446,,,,,1975,
2012/3/15,109.6552,,,,,2283,
2012/3/16,109.6817,,,,,2283,
2012/3/19,109.6916,,,,,2283,
2012/3/20,109.6554,,,,,2283,
2012/3/21,109.5673,,,,,2283,
2012/3/22,109.4806,,,,,2283,
2012/3/23,109.4955,,,,,2283,
2012/3/26,109.5236,,,,,2283,
2012/3/27,109.5346,,,,,2283,
2012/3/28,109.5791,,,,,2283,
2012/3/29,109.59,,,,,2283,
2012/3/30,109.5803,,,,,2283,
2012/3/31,109.5888,,,,,,
2012/4/1,109.6053,,,,,,
2012/4/5,109.6374,,,,,2283,
2012/4/6,109.6696,,,,,2283,
2012/4/9,109.6729,,,,,2283,
2012/4/10,109.7038,,,,,2283,
2012/4/11,109.722,,,,,2283,
2012/4/12,109.7744,,,,,2283,
2012/4/13,109.759,,,,,2283,
2012/4/16,109.8031,,,,,2283,
2012/4/17,109.822,,,,,2283,
2012/4/18,109.8843,,,,,2283,
2012/4/19,109.9054,,,,,1919,
2012/4/20,109.9321,,,,,1904,
2012/4/23,109.9696,,,,,1860,
2012/4/24,109.993,,,,,1857,
2012/4/25,109.9989,,,,,1834,
2012/4/26,110.0259,,,,,1837,
2012/4/27,110.0436,,,,,1825,
2012/4/28,110.0747,,,,,,
2012/5/2,110.1288,,,,,1808,
2012/5/3,110.1541,,,,,1827,
2012/5/4,110.1866,,,,,1835,
2012/5/7,110.2382,,,,,1825,
2012/5/8,110.2346,,,,,1840,
2012/5/9,110.2398,,,,,1840,
2012/5/10,110.3005,,,,,1800,
2012/5/11,110.4291,,,,,1840,
2012/5/14,110.7803,,,,,1780,
2012/5/15,111.0827,,,,,1824,
2012/5/16,111.2681,,,,,1906,
2012/5/17,111.3268,,,,,1884,
2012/5/18,111.4293,,,,,1884,
2012/5/21,111.5553,,,,,1884,
2012/5/22,111.5841,,,,,1819,
2012/5/23,111.6157,,,,,1819,
2012/5/24,111.7743,,,,,1819,
2012/5/25,111.9563,,,,,1819,
2012/5/28,112.0825,,,,,1769,
2012/5/29,112.0938,,,,,1769,
2012/5/30,112.0965,,,,,1703,
2012/5/31,112.1653,,,,,1703,
2012/6/1,112.1911,,,,,1703,
2012/6/4,112.286,,,,,1703,
2012/6/5,112.3338,,,,,1703,
2012/6/6,112.3556,,,,,1703,
2012/6/7,112.3716,,,,,1703,
2012/6/8,112.9023,,,,,1703,
2012/6/11,112.993,,,,,1703,
2012/6/12,113.0704,,,,,1703,
2012/6/13,113.0856,,,,,1703,
2012/6/14,113.0217,,,,,1703,
2012/6/15,113.0203,,,,,1726,
2012/6/18,112.9399,,,,,1677,
2012/6/19,112.86,,,,,1660,
2012/6/20,112.8068,,,,,1660,
