,新能源指数,新能源指数,绿色债券指数,碳价,INE原油,天然气价格,焦炭价格
2021-09-14,4684.9815,0.013318965512224779,-0.0003438768394756764,-0.001998501789326479,0.002593474546381813,0.0010179844788158476,-0.15243070270614822
2021-09-15,4795.2054,0.023254576795842752,-8.178616507503733e-05,-0.00025009378647311564,0.0010786323988281055,0.02130774347922504,0.040433871092135476
2021-09-16,4547.2631,-0.05309100821003021,-0.00023531257462128252,-0.02276850189767199,0.009442130235379764,0.010075235941899408,0.019924407726215065
2021-09-17,4567.642,0.004471562508337357,4.314478409650491e-05,0.01775344625124431,0.01294447782672492,0.005245053820937429,-0.023533396771899362
2021-09-18,4567.642,0.0,9.580838330691677e-05,0.0,0.0,-0.00081772839620875,0.0
2021-09-19,4567.642,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,4567.642,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-21,4567.642,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-22,4599.0597,0.006854771552317729,0.00025432392826640893,-0.0005028916374527626,-0.006981938867117954,0.0,-0.0036220610385360175
2021-09-23,4598.149,-0.00019803834678278065,-0.00017701157455451977,0.005768041070353558,0.007824931540854507,-0.003441780009872275,0.014533514616168475
2021-09-24,4652.5652,0.011764892197462018,-0.0002123431910945328,0.00523757276624881,0.021053409197832273,0.0,-0.01678830700325662
2021-09-25,4652.5652,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-26,4652.5652,0.0,4.5385842706302526e-05,0.0,0.0,0.0,0.0
2021-09-27,4564.557,-0.01909725678539509,-0.0003855650761677154,-0.015037877364540986,0.015148703201851355,-0.0064234759282388865,-0.006037754190920452
2021-09-28,4499.458,-0.01436452154384682,-0.00044683617470120396,0.041549002912872446,0.01951575870393185,-0.0016537129616285284,0.014280588422630913
2021-09-29,4426.0786,-0.01644294490804299,-6.168692429842082e-05,-0.01537928517948739,-0.010817413175660207,-0.00814296148843141,0.0038483071513617517
2021-09-30,4575.0213,0.03309735428458005,0.00025457420639085626,-0.016119381879883488,-0.001612578458699332,-0.009219745134480206,-0.020402485033866213
2021-10-01,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-04,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-05,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-07,4575.0213,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08,4460.1177,-0.025436198636064944,0.0003357818156093373,0.0,0.06103987218871154,-0.004049954911282683,0.03479476249067304
2021-10-09,4460.1177,0.0,-3.026619115420459e-05,0.0,0.0,0.0006761325477313562,0.0
2021-10-10,4460.1177,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-11,4412.4548,-0.01074397723740006,-0.0004714861684282923,-0.012325649690636986,0.0,0.007742842924475468,0.0012205542831029703
2021-10-12,4330.8775,-0.018661001209274275,-0.00025573826898028784,0.0,0.00831605624165821,0.017617208168914544,-0.03968922981859535
2021-10-13,4489.8544,0.036050096239836904,-0.00010096732313336076,0.0,-0.006230549750636527,0.017635989424983123,0.0
2021-10-14,4550.0811,0.013324783368384274,-0.00020028202244137816,0.0,-0.014114291145796543,0.016056863923370912,0.0
2021-10-15,4665.3762,0.025023417154811156,-0.0007397641511355246,0.0,0.008797149868176035,0.009354011921619332,0.0
2021-10-16,4665.3762,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,4665.3762,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-18,4785.5046,0.025422999755786435,-0.0009903891499343231,0.0,0.01680394491708359,0.024473203339272942,0.0790366074963611
2021-10-19,4790.5124,0.0010459046713293674,-0.0005577009821671197,0.0,-0.007328793490799512,0.009807004741803738,0.09363494986875232
2021-10-20,4877.294,0.017953179310046252,0.00031149635452454305,0.0,-0.00018862586116430435,0.01061742114185904,-0.08441291521225658
2021-10-21,4807.6769,-0.014376563396123032,0.0003158953861701619,0.0,0.002449365331952613,0.005416805300225036,-0.053092923929302316
2021-10-22,4729.2373,-0.01645005233088881,0.00033995382012719233,0.0,-0.006040033462681116,0.008070586325558793,0.05830821071113235
2021-10-23,4729.2373,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-24,4729.2373,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,4910.8366,0.037680372112799176,0.00044036335181019126,0.05226725678358468,-0.001136579019872741,0.0214998709955605,-0.02968133893623559
2021-10-26,4894.8579,-0.003259068318552494,0.0005215571940553332,0.0,0.0001895195684626927,0.01532486258677146,-0.010173027713051397
