,地缘政治风险指数（GPR China）,气候政策风险指数（CCPU）,绿色债券指数,INE原油,碳市场碳排放配额价格,天然气出厂价格指数,焦煤期货价格
2021-12-09,0.863984227180481,1.79831848292918,1.0176621347103152,1.0841505131128848,0.8112434120632442,1.3191881918819188,1.3007284079084287
2021-12-10,0.863984227180481,1.18081830074446,1.0178752857326203,1.077309007981756,0.833300800312317,1.3191881918819188,1.3007284079084287
2021-12-11,0.863984227180481,2.18170893245174,1.0178752857326203,1.077309007981756,0.833300800312317,1.3191881918819188,1.3007284079084287
2021-12-12,0.863984227180481,1.50661200486426,1.0178752857326203,1.077309007981756,0.833300800312317,1.3191881918819188,1.3007284079084287
2021-12-13,0.863984227180481,1.99984522371841,1.0182167796781703,1.083466362599772,0.8383759515908649,1.1665129151291513,1.3007284079084287
2021-12-14,0.863984227180481,1.57233697960247,1.0185373542926184,1.0802736602052452,0.8379855553386688,1.1337638376383763,1.3959417273673258
2021-12-15,0.863984227180481,2.0059808997671,1.0187759477446416,1.0494868871151652,0.8405231309779427,1.1376845018450183,1.0541103017689906
2021-12-16,0.863984227180481,1.61346722236323,1.0190529875349057,1.0615735461801596,0.8631661136053094,1.1344557195571956,1.0681581685744017
2021-12-17,0.863984227180481,2.06241959757696,1.0191864189440938,1.0898517673888255,0.9107944563732188,1.117158671586716,1.0764828303850156
2021-12-18,0.863984227180481,1.77029988420776,1.0191864189440938,1.0898517673888255,0.9107944563732188,1.117158671586716,1.0764828303850156
2021-12-19,0.863984227180481,1.27880543803127,1.0191864189440938,1.0898517673888255,0.9107944563732188,1.117158671586716,1.0764828303850156
2021-12-20,0.863984227180481,2.05885815879294,1.0193882622198578,1.0485746864310148,0.9599843841499122,1.0749538745387455,1.1030176899063475
2021-12-21,0.863984227180481,2.0992059808909,1.0192978002475266,1.0369441277080957,0.9660355260589499,1.0867158671586716,1.1014568158168574
2021-12-22,0.863984227180481,1.75948104937332,1.0192559615853234,1.0451539338654505,0.96408354479797,1.1017066420664208,1.1030176899063475
2021-12-23,0.863984227180481,1.75501915006991,1.0197382369753134,1.0451539338654505,0.9675971110677338,1.1155442804428044,1.1058792924037462
2021-12-24,0.863984227180481,1.40725993938295,1.0202046815201455,1.0830102622576967,0.9394885809096234,1.1155442804428044,1.108480749219563
2021-12-25,0.863984227180481,1.88430158864976,1.0202046815201455,1.0830102622576967,0.9394885809096234,1.1155442804428044,1.108480749219563
2021-12-26,0.863984227180481,0.854562651900229,1.0202046815201455,1.0830102622576967,0.9394885809096234,1.1155442804428044,1.108480749219563
2021-12-27,0.863984227180481,1.82425679618158,1.020764414973944,1.0846066134549601,0.9394885809096234,1.1339944649446494,1.1014568158168574
2021-12-28,0.863984227180481,1.3393214711607,1.0210437163135164,1.108551881413911,1.0089791138005075,1.1363007380073802,1.086888657648283
2021-12-29,0.863984227180481,1.75101619616004,1.0215927074081004,1.1242873432155074,1.1056021862190124,1.1459870848708487,1.0829864724245577
2021-12-30,0.863984227180481,1.72172806857005,1.0223763342434184,1.1272519954389966,1.113800507515128,1.1559040590405905,1.076222684703434
2021-12-31,0.863984227180481,1.64797565344937,1.0227834131189082,1.1327251995438996,1.0583642397032988,1.1559040590405905,1.0684183142559833
2022-01-01,0.7950358986854553,0.957093897801922,1.0227834131189082,1.1327251995438996,1.0583642397032988,1.1559040590405905,1.0684183142559833
2022-01-02,0.7950358986854553,0.526268428460966,1.0227834131189082,1.1327251995438996,1.0583642397032988,1.1559040590405905,1.0684183142559833
2022-01-03,0.7950358986854553,0.524489448475026,1.0227834131189082,1.1327251995438996,1.0583642397032988,1.1559040590405905,1.0684183142559833
2022-01-04,0.7950358986854553,0.944583816073254,1.0234731856579329,1.1267958950969215,1.1182900644153817,1.179658671586716,1.0723204994797086
2022-01-05,0.7950358986854553,0.939761520378045,1.0239305840055317,1.14230330672748,1.111458130001952,1.1865774907749078,1.1196670135275755
2022-01-06,0.7950358986854553,0.644353323346961,1.023972988055062,1.1514253135689851,1.1177044700370877,1.194880073800738,1.141519250780437
2022-01-07,0.7950358986854553,1.08471644894313,1.0240289614004419,1.176054732041049,1.1241460081983214,1.1999538745387455,1.1378772112382936
2022-01-08,0.7950358986854553,0.41332688174881,1.0240289614004419,1.176054732041049,1.1241460081983214,1.1999538745387455,1.1378772112382936
2022-01-09,0.7950358986854553,0.77632573031701,1.0240289614004419,1.176054732041049,1.1241460081983214,1.1999538745387455,1.1378772112382936
2022-01-10,0.7950358986854553,1.01079456588444,1.0247232570380829,1.1667046750285064,1.1376146788990826,1.1826568265682658,1.2369927159209158
2022-01-11,0.7950358986854553,1.00260224271467,1.0251190281670313,1.1610034207525657,1.1227796213156356,1.1752767527675276,1.2369927159209158
2022-01-12,0.7950358986854553,0.731391682068545,1.0258647740514355,1.1746864310148233,1.131953933242241,1.157518450184502,1.239334027055151
2022-01-13,0.7950358986854553,0.992929712778134,1.0262040064476772,1.1972633979475484,1.1272691782158892,1.1522140221402215,1.2091571279916753
2022-01-14,0.7950358986854553,1.46172535164547,1.026621827682381,1.216419612314709,1.1276595744680853,1.1489852398523985,1.2310093652445369
2022-01-15,0.7950358986854553,0.89933720496506,1.026621827682381,1.216419612314709,1.1276595744680853,1.1489852398523985,1.2310093652445369
2022-01-16,0.7950358986854553,0.426526222911374,1.026621827682381,1.216419612314709,1.1276595744680853,1.1489852398523985,1.2310093652445369
2022-01-17,0.7950358986854553,1.30640274921088,1.0275976862089027,1.236259977194983,1.1415186414210423,1.1496771217712176,1.1529656607700312
2022-01-18,0.7950358986854553,1.57503760593072,1.0285871140312737,1.236716077537058,1.1419090376732384,1.1526752767527675,1.2596253902185224
2022-01-19,0.7950358986854553,0.886777167179166,1.0305936736550425,1.2435575826681868,1.093109506148741,1.154289667896679,1.2611862643080125
2022-01-20,0.7950358986854553,0.929962328689388,1.0310465489040248,1.230102622576967,1.132149131368339,1.1464483394833949,1.2903225806451613
